Date,Open,High,Low,Close,Adj Close,Volume,date,created_utc,reg_output
2022-02-28,271.670013,292.286682,271.570007,290.143341,290.143341,99006900,2022-02-28,1646010329.9346018,-0.07953220260147931
2022-03-01,289.893341,296.626678,284.593323,288.123322,288.123322,74766900,2022-03-01,1646086844.9827585,-0.08624725785464141
2022-03-02,290.709991,295.493347,281.42334,293.296661,293.296661,74643300,2022-03-02,1646174134.3754046,-0.14253748049936935
2022-03-03,292.92334,295.480011,277.533325,279.763336,279.763336,61623600,2022-03-03,1646276113.2213438,-0.08834865688441729
2022-03-04,283.033325,285.216675,275.053345,279.429993,279.429993,66999600,2022-03-04,1646342647.5627906,-0.04789104802117056
2022-03-07,285.433319,288.713318,268.190002,268.193329,268.193329,72494100,2022-03-07,1646615709.1962457,-0.05763919623437538
2022-03-08,265.176666,283.329987,260.723328,274.799988,274.799988,80399100,2022-03-08,1646688909.2582781,-0.11267520389319181
2022-03-09,279.82666,286.853333,277.33667,286.323334,286.323334,59184000,2022-03-09,1646782654.6015038,-0.08153939261705145
2022-03-10,283.816681,284.816681,270.119995,279.433319,279.433319,58648500,2022-03-10,1646873894.9394813,-0.08663757022120319
2022-03-11,280.066681,281.266663,264.589996,265.116669,265.116669,67037100,2022-03-11,1646945749.9626667,-0.07774282766475031
2022-03-14,260.203339,266.899994,252.013336,255.456665,255.456665,71152200,2022-03-14,1647215944.6193547,-0.15342115401590783
2022-03-15,258.42334,268.523346,252.190002,267.296661,267.296661,66841200,2022-03-15,1647305069.767101,-0.03437520238909877
2022-03-16,269.666656,280.666656,267.420013,280.07666,280.07666,84028800,2022-03-16,1647394225.908999,-0.07013905627680782
2022-03-17,276.996674,291.666656,275.23999,290.533325,290.533325,66582900,2022-03-17,1647466722.3428912,-0.12831119708427569
2022-03-18,291.496674,302.616669,289.130005,301.796661,301.796661,100414200,2022-03-18,1647552918.100233,-0.0156276548953753
2022-03-21,304.993347,314.283325,302.363342,307.053345,307.053345,81981600,2022-03-21,1647814260.166134,-0.013173171201908291
2022-03-22,310.0,332.619995,307.25,331.32666,331.32666,105868500,2022-03-22,1647916743.0121317,0.037042870585753396
2022-03-23,326.646667,346.899994,325.466675,333.036682,333.036682,120676200,2022-03-23,1647985205.4947507,-0.051818049762592334
2022-03-24,336.57666,341.496674,329.600006,337.973328,337.973328,68920800,2022-03-24,1648078170.128599,0.011162406107993534
2022-03-25,336.0,340.600006,332.440002,336.880005,336.880005,62031600,2022-03-25,1648158410.889105,-0.07085539117874035
2022-03-28,355.033325,365.959991,351.200012,363.946655,363.946655,102506100,2022-03-28,1648414506.4987833,-0.11636172322082784
2022-03-29,369.329987,371.589996,357.703339,366.523346,366.523346,73614900,2022-03-29,1648510971.150121,-0.11051551001450863
2022-03-30,363.723328,371.316681,361.333344,364.66333,364.66333,59865000,2022-03-30,1648587925.2160194,-0.1860601327515397
2022-03-31,364.856659,367.713318,358.880005,359.200012,359.200012,48992700,2022-03-31,1648681920.4874446,-0.041979082064060674
2022-04-01,360.383331,364.916656,355.546661,361.529999,361.529999,54263100,2022-04-01,1648763742.0515463,-0.1924002385448026
2022-04-04,363.126678,383.303345,357.51001,381.816681,381.816681,82035900,2022-04-04,1649022162.7563026,-0.16563996727976502
2022-04-05,378.766663,384.290009,362.433319,363.753326,363.753326,80075100,2022-04-05,1649109126.7142856,-0.2414903355965697
2022-04-06,357.823334,359.666656,342.566681,348.58667,348.58667,89348400,2022-04-06,1649195691.1678004,-0.20123642593038282
2022-04-07,350.796661,358.863342,340.513336,352.420013,352.420013,79447200,2022-04-07,1649282908.4311311,-0.09825473761773686
2022-04-08,347.736664,349.480011,340.813324,341.829987,341.829987,55013700,2022-04-08,1649370285.4360313,-0.2402432642380285
2022-04-11,326.799988,336.156677,324.880005,325.309998,325.309998,59357100,2022-04-11,1649628242.0852575,-0.14893624354956164
2022-04-12,332.546661,340.396667,325.533325,328.983337,328.983337,65976000,2022-04-12,1649722308.2331288,-0.13370213890667576
2022-04-13,327.026672,342.079987,324.366669,340.790009,340.790009,55121100,2022-04-13,1649797476.1804197,-0.025235912154169784
2022-04-14,333.09668,337.570007,327.396667,328.333344,328.333344,58422300,2022-04-14,1649879121.0949914,-0.09226642349814926
2022-04-18,329.676666,338.306671,324.470001,334.763336,334.763336,51715200,2022-04-18,1650224045.686217,-0.06691739069010456
2022-04-19,335.019989,344.980011,331.776672,342.716675,342.716675,49847700,2022-04-19,1650326067.4531963,-0.10066114251579468
2022-04-20,343.333344,344.666656,325.083344,325.733337,325.733337,70711200,2022-04-20,1650394907.1107492,-0.15621066602373174
2022-04-21,358.243347,364.073334,332.140015,336.26001,336.26001,105416400,2022-04-21,1650499263.4866667,-0.0884886470293471
2022-04-22,338.303345,344.950012,331.333344,335.016663,335.016663,69696600,2022-04-22,1650577971.0400696,-0.13769772226288624
2022-04-25,326.323334,336.206665,325.100006,332.67334,332.67334,68341200,2022-04-25,1650844172.1789708,-0.13072685751674898
2022-04-26,331.809998,333.333344,291.666656,292.140015,292.140015,136133700,2022-04-26,1650919037.5668015,-0.15081055980361432
2022-04-27,299.526672,306.0,292.453339,293.83667,293.83667,76956300,2022-04-27,1651009814.391685,-0.08558338396765773
2022-04-28,299.993347,300.0,273.899994,292.503326,292.503326,124948500,2022-04-28,1651101922.7729468,-0.15508355757715736
2022-04-29,300.75,311.466675,290.0,290.253326,290.253326,88133100,2022-04-29,1651191064.3456938,-0.14100936040269438
